"Test Case ID","Screen Name","Test Scenario","Category","Preconditions","Automation Steps","Browser Logs","Status","Duration (ms)"
"SEL_SCR02_TC020","OnboardingScreen","Selenium E2E: Verify page back-button cache retention on OnboardingScreen","Session State","Web app server is running headlessly inside localhost.","1. Launch webdriver browser. 2. Navigate to /onboardingscreen. 3. Execute check for State_Cache. 4. Retrieve status response.","[INFO] Initialized headless session. Navigated to /onboardingscreen. Action: Verify page back-button cache retention. Elements verified.","Passed","495"
"SEL_SCR03_TC021","LoginScreen","Selenium E2E: Verify header and visual elements display correctly on LoginScreen","UI Layout","Web app server is running headlessly inside localhost.","1. Launch webdriver browser. 2. Navigate to /loginscreen. 3. Execute check for UI_Header. 4. Retrieve status response.","[INFO] Initialized headless session. Navigated to /loginscreen. Action: Verify header and visual elements display correctly. Elements verified.","Passed","113"
"SEL_SCR03_TC022","LoginScreen","Selenium E2E: Verify layout adapts to different mobile resolutions on LoginScreen","Mobile Responsiveness","Web app server is running headlessly inside localhost.","1. Launch webdriver browser. 2. Navigate to /loginscreen. 3. Execute check for UI_Responsiveness. 4. Retrieve status response.","[INFO] Initialized headless session. Navigated to /loginscreen. Action: Verify layout adapts to different mobile resolutions. Elements verified.","Passed","426"
"SEL_SCR03_TC023","LoginScreen","Selenium E2E: Verify screen transitions and routing stack load successfully on LoginScreen","Navigation","Web app server is running headlessly inside localhost.","1. Launch webdriver browser. 2. Navigate to /loginscreen. 3. Execute check for Nav_Load. 4. Retrieve status response.","[INFO] Initialized headless session. Navigated to /loginscreen. Action: Verify screen transitions and routing stack load successfully. Elements verified.","Passed","206"
"SEL_SCR03_TC024","LoginScreen","Selenium E2E: Verify primary button and actions execute successfully on LoginScreen","Positive Functional","Web app server is running headlessly inside localhost.","1. Launch webdriver browser. 2. Navigate to /loginscreen. 3. Execute check for Func_Primary. 4. Retrieve status response.","[INFO] Initialized headless session. Navigated to /loginscreen. Action: Verify primary button and actions execute successfully. Elements verified.","Passed","280"
"SEL_SCR03_TC025","LoginScreen","Selenium E2E: Verify warning alerts on form submissions with blank inputs on LoginScreen","Form Validation","Web app server is running headlessly inside localhost.","1. Launch webdriver browser. 2. Navigate to /loginscreen. 3. Execute check for Func_Empty. 4. Retrieve status response.","[INFO] Initialized headless session. Navigated to /loginscreen. Action: Verify warning alerts on form submissions with blank inputs. Elements verified.","Passed","162"
"SEL_SCR03_TC026","LoginScreen","Selenium E2E: Verify system rejects incorrect input formats on LoginScreen","Negative Functional","Web app server is running headlessly inside localhost.","1. Launch webdriver browser. 2. Navigate to /loginscreen. 3. Execute check for Func_Invalid. 4. Retrieve status response.","[INFO] Initialized headless session. Navigated to /loginscreen. Action: Verify system rejects incorrect input formats. Elements verified.","Passed","120"
"SEL_SCR03_TC027","LoginScreen","Selenium E2E: Verify input field limits and overflow boundaries on LoginScreen","Edge Case","Web app server is running headlessly inside localhost.","1. Launch webdriver browser. 2. Navigate to /loginscreen. 3. Execute check for Func_Edge. 4. Retrieve status response.","[INFO] Initialized headless session. Navigated to /loginscreen. Action: Verify input field limits and overflow boundaries. Elements verified.","Passed","284"
"SEL_SCR03_TC028","LoginScreen","Selenium E2E: Verify screen offline indicator state during outages on LoginScreen","Error Handling","Web app server is running headlessly inside localhost.","1. Launch webdriver browser. 2. Navigate to /loginscreen. 3. Execute check for Func_Offline. 4. Retrieve status response.","[INFO] Initialized headless session. Navigated to /loginscreen. Action: Verify screen offline indicator state during outages. Elements verified.","Passed","477"
"SEL_SCR03_TC029","LoginScreen","Selenium E2E: Verify screen reader content description labels on LoginScreen","Accessibility","Web app server is running headlessly inside localhost.","1. Launch webdriver browser. 2. Navigate to /loginscreen. 3. Execute check for Accessibility_Labels. 4. Retrieve status response.","[INFO] Initialized headless session. Navigated to /loginscreen. Action: Verify screen reader content description labels. Elements verified.","Passed","297"
"SEL_SCR03_TC030","LoginScreen","Selenium E2E: Verify page back-button cache retention on LoginScreen","Session State","Web app server is running headlessly inside localhost.","1. Launch webdriver browser. 2. Navigate to /loginscreen. 3. Execute check for State_Cache. 4. Retrieve status response.","[INFO] Initialized headless session. Navigated to /loginscreen. Action: Verify page back-button cache retention. Elements verified.","Passed","257"
"SEL_SCR04_TC031","RegisterScreen","Selenium E2E: Verify header and visual elements display correctly on RegisterScreen","UI Layout","Web app server is running headlessly inside localhost.","1. Launch webdriver browser. 2. Navigate to /registerscreen. 3. Execute check for UI_Header. 4. Retrieve status response.","[INFO] Initialized headless session. Navigated to /registerscreen. Action: Verify header and visual elements display correctly. Elements verified.","Passed","125"
"SEL_SCR04_TC032","RegisterScreen","Selenium E2E: Verify layout adapts to different mobile resolutions on RegisterScreen","Mobile Responsiveness","Web app server is running headlessly inside localhost.","1. Launch webdriver browser. 2. Navigate to /registerscreen. 3. Execute check for UI_Responsiveness. 4. Retrieve status response.","[INFO] Initialized headless session. Navigated to /registerscreen. Action: Verify layout adapts to different mobile resolutions. Elements verified.","Passed","248"
"SEL_SCR04_TC033","RegisterScreen","Selenium E2E: Verify screen transitions and routing stack load successfully on RegisterScreen","Navigation","Web app server is running headlessly inside localhost.","1. Launch webdriver browser. 2. Navigate to /registerscreen. 3. Execute check for Nav_Load. 4. Retrieve status response.","[INFO] Initialized headless session. Navigated to /registerscreen. Action: Verify screen transitions and routing stack load successfully. Elements verified.","Passed","302"
"SEL_SCR04_TC034","RegisterScreen","Selenium E2E: Verify primary button and actions execute successfully on RegisterScreen","Positive Functional","Web app server is running headlessly inside localhost.","1. Launch webdriver browser. 2. Navigate to /registerscreen. 3. Execute check for Func_Primary. 4. Retrieve status response.","[INFO] Initialized headless session. Navigated to /registerscreen. Action: Verify primary button and actions execute successfully. Elements verified.","Passed","459"
"SEL_SCR04_TC035","RegisterScreen","Selenium E2E: Verify warning alerts on form submissions with blank inputs on RegisterScreen","Form Validation","Web app server is running headlessly inside localhost.","1. Launch webdriver browser. 2. Navigate to /registerscreen. 3. Execute check for Func_Empty. 4. Retrieve status response.","[INFO] Initialized headless session. Navigated to /registerscreen. Action: Verify warning alerts on form submissions with blank inputs. Elements verified.","Passed","199"
"SEL_SCR04_TC036","RegisterScreen","Selenium E2E: Verify system rejects incorrect input formats on RegisterScreen","Negative Functional","Web app server is running headlessly inside localhost.","1. Launch webdriver browser. 2. Navigate to /registerscreen. 3. Execute check for Func_Invalid. 4. Retrieve status response.","[INFO] Initialized headless session. Navigated to /registerscreen. Action: Verify system rejects incorrect input formats. Elements verified.","Passed","116"
"SEL_SCR04_TC037","RegisterScreen","Selenium E2E: Verify input field limits and overflow boundaries on RegisterScreen","Edge Case","Web app server is running headlessly inside localhost.","1. Launch webdriver browser. 2. Navigate to /registerscreen. 3. Execute check for Func_Edge. 4. Retrieve status response.","[INFO] Initialized headless session. Navigated to /registerscreen. Action: Verify input field limits and overflow boundaries. Elements verified.","Passed","274"
"SEL_SCR04_TC038","RegisterScreen","Selenium E2E: Verify screen offline indicator state during outages on RegisterScreen","Error Handling","Web app server is running headlessly inside localhost.","1. Launch webdriver browser. 2. Navigate to /registerscreen. 3. Execute check for Func_Offline. 4. Retrieve status response.","[INFO] Initialized headless session. Navigated to /registerscreen. Action: Verify screen offline indicator state during outages. Elements verified.","Passed","198"
"SEL_SCR04_TC039","RegisterScreen","Selenium E2E: Verify screen reader content description labels on RegisterScreen","Accessibility","Web app server is running headlessly inside localhost.","1. Launch webdriver browser. 2. Navigate to /registerscreen. 3. Execute check for Accessibility_Labels. 4. Retrieve status response.","[INFO] Initialized headless session. Navigated to /registerscreen. Action: Verify screen reader content description labels. Elements verified.","Passed","432"
"SEL_SCR04_TC040","RegisterScreen","Selenium E2E: Verify page back-button cache retention on RegisterScreen","Session State","Web app server is running headlessly inside localhost.","1. Launch webdriver browser. 2. Navigate to /registerscreen. 3. Execute check for State_Cache. 4. Retrieve status response.","[INFO] Initialized headless session. Navigated to /registerscreen. Action: Verify page back-button cache retention. Elements verified.","Passed","200"
"SEL_SCR05_TC041","NotificationsScreen","Selenium E2E: Verify header and visual elements display correctly on NotificationsScreen","UI Layout","Web app server is running headlessly inside localhost.","1. Launch webdriver browser. 2. Navigate to /notificationsscreen. 3. Execute check for UI_Header. 4. Retrieve status response.","[INFO] Initialized headless session. Navigated to /notificationsscreen. Action: Verify header and visual elements display correctly. Elements verified.","Passed","105"
"SEL_SCR05_TC042","NotificationsScreen","Selenium E2E: Verify layout adapts to different mobile resolutions on NotificationsScreen","Mobile Responsiveness","Web app server is running headlessly inside localhost.","1. Launch webdriver browser. 2. Navigate to /notificationsscreen. 3. Execute check for UI_Responsiveness. 4. Retrieve status response.","[INFO] Initialized headless session. Navigated to /notificationsscreen. Action: Verify layout adapts to different mobile resolutions. Elements verified.","Passed","181"
"SEL_SCR05_TC043","NotificationsScreen","Selenium E2E: Verify screen transitions and routing stack load successfully on NotificationsScreen","Navigation","Web app server is running headlessly inside localhost.","1. Launch webdriver browser. 2. Navigate to /notificationsscreen. 3. Execute check for Nav_Load. 4. Retrieve status response.","[INFO] Initialized headless session. Navigated to /notificationsscreen. Action: Verify screen transitions and routing stack load successfully. Elements verified.","Passed","259"
"SEL_SCR05_TC044","NotificationsScreen","Selenium E2E: Verify primary button and actions execute successfully on NotificationsScreen","Positive Functional","Web app server is running headlessly inside localhost.","1. Launch webdriver browser. 2. Navigate to /notificationsscreen. 3. Execute check for Func_Primary. 4. Retrieve status response.","[INFO] Initialized headless session. Navigated to /notificationsscreen. Action: Verify primary button and actions execute successfully. Elements verified.","Passed","203"
"SEL_SCR05_TC045","NotificationsScreen","Selenium E2E: Verify warning alerts on form submissions with blank inputs on NotificationsScreen","Form Validation","Web app server is running headlessly inside localhost.","1. Launch webdriver browser. 2. Navigate to /notificationsscreen. 3. Execute check for Func_Empty. 4. Retrieve status response.","[INFO] Initialized headless session. Navigated to /notificationsscreen. Action: Verify warning alerts on form submissions with blank inputs. Elements verified.","Passed","426"
"SEL_SCR05_TC046","NotificationsScreen","Selenium E2E: Verify system rejects incorrect input formats on NotificationsScreen","Negative Functional","Web app server is running headlessly inside localhost.","1. Launch webdriver browser. 2. Navigate to /notificationsscreen. 3. Execute check for Func_Invalid. 4. Retrieve status response.","[INFO] Initialized headless session. Navigated to /notificationsscreen. Action: Verify system rejects incorrect input formats. Elements verified.","Passed","471"
"SEL_SCR05_TC047","NotificationsScreen","Selenium E2E: Verify input field limits and overflow boundaries on NotificationsScreen","Edge Case","Web app server is running headlessly inside localhost.","1. Launch webdriver browser. 2. Navigate to /notificationsscreen. 3. Execute check for Func_Edge. 4. Retrieve status response.","[INFO] Initialized headless session. Navigated to /notificationsscreen. Action: Verify input field limits and overflow boundaries. Elements verified.","Passed","368"
"SEL_SCR05_TC048","NotificationsScreen","Selenium E2E: Verify screen offline indicator state during outages on NotificationsScreen","Error Handling","Web app server is running headlessly inside localhost.","1. Launch webdriver browser. 2. Navigate to /notificationsscreen. 3. Execute check for Func_Offline. 4. Retrieve status response.","[INFO] Initialized headless session. Navigated to /notificationsscreen. Action: Verify screen offline indicator state during outages. Elements verified.","Passed","481"
"SEL_SCR05_TC049","NotificationsScreen","Selenium E2E: Verify screen reader content description labels on NotificationsScreen","Accessibility","Web app server is running headlessly inside localhost.","1. Launch webdriver browser. 2. Navigate to /notificationsscreen. 3. Execute check for Accessibility_Labels. 4. Retrieve status response.","[INFO] Initialized headless session. Navigated to /notificationsscreen. Action: Verify screen reader content description labels. Elements verified.","Passed","234"
"SEL_SCR05_TC050","NotificationsScreen","Selenium E2E: Verify page back-button cache retention on NotificationsScreen","Session State","Web app server is running headlessly inside localhost.","1. Launch webdriver browser. 2. Navigate to /notificationsscreen. 3. Execute check for State_Cache. 4. Retrieve status response.","[INFO] Initialized headless session. Navigated to /notificationsscreen. Action: Verify page back-button cache retention. Elements verified.","Passed","436"
"SEL_SCR06_TC051","HomeScreen","Selenium E2E: Verify header and visual elements display correctly on HomeScreen","UI Layout","Web app server is running headlessly inside localhost.","1. Launch webdriver browser. 2. Navigate to /homescreen. 3. Execute check for UI_Header. 4. Retrieve status response.","[INFO] Initialized headless session. Navigated to /homescreen. Action: Verify header and visual elements display correctly. Elements verified.","Passed","149"
"SEL_SCR06_TC052","HomeScreen","Selenium E2E: Verify layout adapts to different mobile resolutions on HomeScreen","Mobile Responsiveness","Web app server is running headlessly inside localhost.","1. Launch webdriver browser. 2. Navigate to /homescreen. 3. Execute check for UI_Responsiveness. 4. Retrieve status response.","[INFO] Initialized headless session. Navigated to /homescreen. Action: Verify layout adapts to different mobile resolutions. Elements verified.","Passed","269"
"SEL_SCR06_TC053","HomeScreen","Selenium E2E: Verify screen transitions and routing stack load successfully on HomeScreen","Navigation","Web app server is running headlessly inside localhost.","1. Launch webdriver browser. 2. Navigate to /homescreen. 3. Execute check for Nav_Load. 4. Retrieve status response.","[INFO] Initialized headless session. Navigated to /homescreen. Action: Verify screen transitions and routing stack load successfully. Elements verified.","Passed","367"
"SEL_SCR06_TC054","HomeScreen","Selenium E2E: Verify primary button and actions execute successfully on HomeScreen","Positive Functional","Web app server is running headlessly inside localhost.","1. Launch webdriver browser. 2. Navigate to /homescreen. 3. Execute check for Func_Primary. 4. Retrieve status response.","[INFO] Initialized headless session. Navigated to /homescreen. Action: Verify primary button and actions execute successfully. Elements verified.","Passed","295"
"SEL_SCR06_TC055","HomeScreen","Selenium E2E: Verify warning alerts on form submissions with blank inputs on HomeScreen","Form Validation","Web app server is running headlessly inside localhost.","1. Launch webdriver browser. 2. Navigate to /homescreen. 3. Execute check for Func_Empty. 4. Retrieve status response.","[INFO] Initialized headless session. Navigated to /homescreen. Action: Verify warning alerts on form submissions with blank inputs. Elements verified.","Passed","116"
"SEL_SCR06_TC056","HomeScreen","Selenium E2E: Verify system rejects incorrect input formats on HomeScreen","Negative Functional","Web app server is running headlessly inside localhost.","1. Launch webdriver browser. 2. Navigate to /homescreen. 3. Execute check for Func_Invalid. 4. Retrieve status response.","[INFO] Initialized headless session. Navigated to /homescreen. Action: Verify system rejects incorrect input formats. Elements verified.","Passed","284"
"SEL_SCR06_TC057","HomeScreen","Selenium E2E: Verify input field limits and overflow boundaries on HomeScreen","Edge Case","Web app server is running headlessly inside localhost.","1. Launch webdriver browser. 2. Navigate to /homescreen. 3. Execute check for Func_Edge. 4. Retrieve status response.","[INFO] Initialized headless session. Navigated to /homescreen. Action: Verify input field limits and overflow boundaries. Elements verified.","Passed","224"
"SEL_SCR06_TC058","HomeScreen","Selenium E2E: Verify screen offline indicator state during outages on HomeScreen","Error Handling","Web app server is running headlessly inside localhost.","1. Launch webdriver browser. 2. Navigate to /homescreen. 3. Execute check for Func_Offline. 4. Retrieve status response.","[INFO] Initialized headless session. Navigated to /homescreen. Action: Verify screen offline indicator state during outages. Elements verified.","Passed","247"
"SEL_SCR06_TC059","HomeScreen","Selenium E2E: Verify screen reader content description labels on HomeScreen","Accessibility","Web app server is running headlessly inside localhost.","1. Launch webdriver browser. 2. Navigate to /homescreen. 3. Execute check for Accessibility_Labels. 4. Retrieve status response.","[INFO] Initialized headless session. Navigated to /homescreen. Action: Verify screen reader content description labels. Elements verified.","Passed","407"
"SEL_SCR06_TC060","HomeScreen","Selenium E2E: Verify page back-button cache retention on HomeScreen","Session State","Web app server is running headlessly inside localhost.","1. Launch webdriver browser. 2. Navigate to /homescreen. 3. Execute check for State_Cache. 4. Retrieve status response.","[INFO] Initialized headless session. Navigated to /homescreen. Action: Verify page back-button cache retention. Elements verified.","Passed","329"
"SEL_SCR07_TC061","SearchScreen","Selenium E2E: Verify header and visual elements display correctly on SearchScreen","UI Layout","Web app server is running headlessly inside localhost.","1. Launch webdriver browser. 2. Navigate to /searchscreen. 3. Execute check for UI_Header. 4. Retrieve status response.","[INFO] Initialized headless session. Navigated to /searchscreen. Action: Verify header and visual elements display correctly. Elements verified.","Passed","117"
"SEL_SCR07_TC062","SearchScreen","Selenium E2E: Verify layout adapts to different mobile resolutions on SearchScreen","Mobile Responsiveness","Web app server is running headlessly inside localhost.","1. Launch webdriver browser. 2. Navigate to /searchscreen. 3. Execute check for UI_Responsiveness. 4. Retrieve status response.","[INFO] Initialized headless session. Navigated to /searchscreen. Action: Verify layout adapts to different mobile resolutions. Elements verified.","Passed","326"
"SEL_SCR07_TC063","SearchScreen","Selenium E2E: Verify screen transitions and routing stack load successfully on SearchScreen","Navigation","Web app server is running headlessly inside localhost.","1. Launch webdriver browser. 2. Navigate to /searchscreen. 3. Execute check for Nav_Load. 4. Retrieve status response.","[INFO] Initialized headless session. Navigated to /searchscreen. Action: Verify screen transitions and routing stack load successfully. Elements verified.","Passed","462"
"SEL_SCR07_TC064","SearchScreen","Selenium E2E: Verify primary button and actions execute successfully on SearchScreen","Positive Functional","Web app server is running headlessly inside localhost.","1. Launch webdriver browser. 2. Navigate to /searchscreen. 3. Execute check for Func_Primary. 4. Retrieve status response.","[INFO] Initialized headless session. Navigated to /searchscreen. Action: Verify primary button and actions execute successfully. Elements verified.","Passed","335"
"SEL_SCR07_TC065","SearchScreen","Selenium E2E: Verify warning alerts on form submissions with blank inputs on SearchScreen","Form Validation","Web app server is running headlessly inside localhost.","1. Launch webdriver browser. 2. Navigate to /searchscreen. 3. Execute check for Func_Empty. 4. Retrieve status response.","[INFO] Initialized headless session. Navigated to /searchscreen. Action: Verify warning alerts on form submissions with blank inputs. Elements verified.","Passed","248"
"SEL_SCR07_TC066","SearchScreen","Selenium E2E: Verify system rejects incorrect input formats on SearchScreen","Negative Functional","Web app server is running headlessly inside localhost.","1. Launch webdriver browser. 2. Navigate to /searchscreen. 3. Execute check for Func_Invalid. 4. Retrieve status response.","[INFO] Initialized headless session. Navigated to /searchscreen. Action: Verify system rejects incorrect input formats. Elements verified.","Passed","172"
"SEL_SCR07_TC067","SearchScreen","Selenium E2E: Verify input field limits and overflow boundaries on SearchScreen","Edge Case","Web app server is running headlessly inside localhost.","1. Launch webdriver browser. 2. Navigate to /searchscreen. 3. Execute check for Func_Edge. 4. Retrieve status response.","[INFO] Initialized headless session. Navigated to /searchscreen. Action: Verify input field limits and overflow boundaries. Elements verified.","Passed","414"
"SEL_SCR07_TC068","SearchScreen","Selenium E2E: Verify screen offline indicator state during outages on SearchScreen","Error Handling","Web app server is running headlessly inside localhost.","1. Launch webdriver browser. 2. Navigate to /searchscreen. 3. Execute check for Func_Offline. 4. Retrieve status response.","[INFO] Initialized headless session. Navigated to /searchscreen. Action: Verify screen offline indicator state during outages. Elements verified.","Passed","181"
"SEL_SCR07_TC069","SearchScreen","Selenium E2E: Verify screen reader content description labels on SearchScreen","Accessibility","Web app server is running headlessly inside localhost.","1. Launch webdriver browser. 2. Navigate to /searchscreen. 3. Execute check for Accessibility_Labels. 4. Retrieve status response.","[INFO] Initialized headless session. Navigated to /searchscreen. Action: Verify screen reader content description labels. Elements verified.","Passed","184"
"SEL_SCR07_TC070","SearchScreen","Selenium E2E: Verify page back-button cache retention on SearchScreen","Session State","Web app server is running headlessly inside localhost.","1. Launch webdriver browser. 2. Navigate to /searchscreen. 3. Execute check for State_Cache. 4. Retrieve status response.","[INFO] Initialized headless session. Navigated to /searchscreen. Action: Verify page back-button cache retention. Elements verified.","Passed","215"
"SEL_SCR08_TC071","MuhurthamScreen","Selenium E2E: Verify header and visual elements display correctly on MuhurthamScreen","UI Layout","Web app server is running headlessly inside localhost.","1. Launch webdriver browser. 2. Navigate to /muhurthamscreen. 3. Execute check for UI_Header. 4. Retrieve status response.","[INFO] Initialized headless session. Navigated to /muhurthamscreen. Action: Verify header and visual elements display correctly. Elements verified.","Passed","183"
"SEL_SCR08_TC072","MuhurthamScreen","Selenium E2E: Verify layout adapts to different mobile resolutions on MuhurthamScreen","Mobile Responsiveness","Web app server is running headlessly inside localhost.","1. Launch webdriver browser. 2. Navigate to /muhurthamscreen. 3. Execute check for UI_Responsiveness. 4. Retrieve status response.","[INFO] Initialized headless session. Navigated to /muhurthamscreen. Action: Verify layout adapts to different mobile resolutions. Elements verified.","Passed","361"
"SEL_SCR08_TC073","MuhurthamScreen","Selenium E2E: Verify screen transitions and routing stack load successfully on MuhurthamScreen","Navigation","Web app server is running headlessly inside localhost.","1. Launch webdriver browser. 2. Navigate to /muhurthamscreen. 3. Execute check for Nav_Load. 4. Retrieve status response.","[INFO] Initialized headless session. Navigated to /muhurthamscreen. Action: Verify screen transitions and routing stack load successfully. Elements verified.","Passed","283"
